246,217,5,0.5
246,35,5,0.2
140,35,5,1
149,35,5,0.5
251,217,5,1
251,35,5,0.2
138,35,5,1
134,35,5,1
126,54,5,1
126,1,5,2
125,54,5,1
125,1,5,2
259,55,1,8.000
259,103,1,8.000
259,121,1,0.00354
139,220,1,1.000
246,155,1,0.055
246,236,1,0.04
129,122,1,0.0036
129,52,1,0.125
431,28,1,0.669
431,128,1,0.02525
431,205,1,0.050
257,121,1,0.0005
257,108,1,0.14
258,122,1,0.00039
258,215,1,0.0014
258,108,1,0.14
128,121,1,0.00804
128,52,1,0.120
141,94,1,1
140,93,1,0.5
140,94,1,0.5
232,31,1,0.353
232,173,1,0.03
232,66,1,0.825
232,69,1,0.06
148,121,1,0.12
148,30,1,0.2
148,31,1,0.8
148,199,1,0.04
152,67,1,2.35294
152,186,1,0.02941
152,136,1,0.05882
153,197,1,0.01
153,70,1,2
153,111,1,0.25
153,129,1,0.08
153,186,1,0.03
153,72,1,0.05
153,199,1,0.01
153,199,1,0.035
147,31,1,8.0000
147,174,1,0.03000
147,197,1,0.05000
147,69,1,0.40000
147,97,1,0.25
147,198,1,0.030
231,197,1,0.04167
231,31,1,0.67
231,186,1,0.0208
231,199,1,0.00083
150,156,1,0.03
150,111,1,0.2
150,71,1,0.03
150,30,1,0.8
149,198,1,0.005
149,96,1,0.0083
149,199,1,0.00165
149,61,1,0.33
151,235,1,0.0286
151,197,1,0.0858
151,71,1,0.07143
151,186,1,0.214
151,136,1,0.186
127,122,1,0.00186
127,56,1,0.080
251,237,1,0.0125
251,236,1,0.05
251,56,1,0.07
138,171,1,1
134,235,1,0.0016
134,197,1,0.0032
134,70,1,0.6
134,111,1,0.08
134,199,1,0.0016
134,152,1,1.3
134,232,1,0.012
207,234,1,0.00161
207,235,1,0.00096
207,197,1,0.00323
207,70,1,0.0645
207,111,1,0.06452
207,186,1,0.00323
207,72,1,0.03226
207,199,1,0.00097
207,185,1,0.048
207,136,1,0.04838
207,171,1,1.55
207,232,1,0.00968
207,69,1,0.0483
250,121,1,0.00256
250,52,1,0.04
132,121,1,0.016
132,70,1,0.1
132,52,1,1
132,72,1,0.1
132,232,1,0.006
126,121,1,0.0005
125,122,1,0.00039
125,215,1,0.0014
232,13,8,0.024
232,14,8,0.024
152,129,8,0.05882
147,91,8,0.07000
147,14,8,0.02000
231,91,8,0.00416
231,14,8,0.00416
231,231,8,0.02083
149,25,8,0.16
151,154,8,0.5
132,91,8,0.016
132,13,8,0.016